species;island;bill_length_mm;bill_depth_mm;flipper_length_mm;body_mass_g;sex
Adelie;Dream;381;176;187;3425;FEMALE
Adelie;Dream;411;175;190;3900;MALE
Adelie;Dream;356;175;191;3175;FEMALE
Adelie;Dream;402;201;200;3975;MALE
Adelie;Dream;37;165;185;3400;FEMALE
Adelie;Dream;397;179;193;4250;MALE
Adelie;Dream;402;171;193;3400;FEMALE
Adelie;Dream;406;172;187;3475;MALE
Adelie;Dream;321;155;188;3050;FEMALE
Adelie;Dream;407;17;190;3725;MALE
Adelie;Dream;373;168;192;3000;FEMALE
Adelie;Dream;39;187;185;3650;MALE
Adelie;Dream;392;186;190;4250;MALE
Adelie;Dream;366;184;184;3475;FEMALE
Adelie;Dream;36;178;195;3450;FEMALE
Adelie;Dream;378;181;193;3750;MALE
Adelie;Dream;36;171;187;3700;FEMALE
Adelie;Dream;415;185;201;4000;MALE
Chinstrap;Dream;465;179;192;3500;FEMALE
Chinstrap;Dream;50;195;196;3900;MALE
Chinstrap;Dream;513;192;193;3650;MALE
Chinstrap;Dream;454;187;188;3525;FEMALE
Chinstrap;Dream;527;198;197;3725;MALE
Chinstrap;Dream;452;178;198;3950;FEMALE
Chinstrap;Dream;461;182;178;3250;FEMALE
Chinstrap;Dream;513;182;197;3750;MALE
Chinstrap;Dream;46;189;195;4150;FEMALE
Chinstrap;Dream;513;199;198;3700;MALE
Chinstrap;Dream;466;178;193;3800;FEMALE
Chinstrap;Dream;517;203;194;3775;MALE
Chinstrap;Dream;47;173;185;3700;FEMALE
Chinstrap;Dream;52;181;201;4050;MALE
Chinstrap;Dream;459;171;190;3575;FEMALE
Chinstrap;Dream;505;196;201;4050;MALE
Chinstrap;Dream;503;20;197;3300;MALE
Chinstrap;Dream;58;178;181;3700;FEMALE
Chinstrap;Dream;464;186;190;3450;FEMALE
Chinstrap;Dream;492;182;195;4400;MALE
Chinstrap;Dream;424;173;181;3600;FEMALE
Chinstrap;Dream;485;175;191;3400;MALE
Chinstrap;Dream;432;166;187;2900;FEMALE
Chinstrap;Dream;506;194;193;3800;MALE
Chinstrap;Dream;467;179;195;3300;FEMALE
Chinstrap;Dream;52;19;197;4150;MALE
Chinstrap;Dream;505;184;200;3400;FEMALE
Chinstrap;Dream;495;19;200;3800;MALE
Chinstrap;Dream;464;178;191;3700;FEMALE
Chinstrap;Dream;528;20;205;4550;MALE
Chinstrap;Dream;409;166;187;3200;FEMALE
Chinstrap;Dream;542;208;201;4300;MALE
Chinstrap;Dream;425;167;187;3350;FEMALE
Chinstrap;Dream;51;188;203;4100;MALE
Chinstrap;Dream;497;186;195;3600;MALE
Chinstrap;Dream;475;168;199;3900;FEMALE
Chinstrap;Dream;476;183;195;3850;FEMALE
Chinstrap;Dream;52;207;210;4800;MALE
Chinstrap;Dream;469;166;192;2700;FEMALE
Chinstrap;Dream;535;199;205;4500;MALE
Chinstrap;Dream;49;195;210;3950;MALE
Chinstrap;Dream;462;175;187;3650;FEMALE
Chinstrap;Dream;509;191;196;3550;MALE
Chinstrap;Dream;455;17;196;3500;FEMALE
Chinstrap;Dream;509;179;196;3675;FEMALE
Chinstrap;Dream;508;185;201;4450;MALE
Chinstrap;Dream;501;179;190;3400;FEMALE
Chinstrap;Dream;49;196;212;4300;MALE
Chinstrap;Dream;515;187;187;3250;MALE
Chinstrap;Dream;498;173;198;3675;FEMALE
Chinstrap;Dream;481;164;199;3325;FEMALE
Chinstrap;Dream;514;19;201;3950;MALE
Chinstrap;Dream;457;173;193;3600;FEMALE
Chinstrap;Dream;507;197;203;4050;MALE
Chinstrap;Dream;425;173;187;3350;FEMALE
Chinstrap;Dream;522;188;197;3450;MALE
Chinstrap;Dream;452;166;191;3250;FEMALE
Chinstrap;Dream;493;199;203;4050;MALE
Chinstrap;Dream;502;188;202;3800;MALE
Chinstrap;Dream;456;194;194;3525;FEMALE
Chinstrap;Dream;519;195;206;3950;MALE
Chinstrap;Dream;468;165;189;3650;FEMALE
Chinstrap;Dream;457;17;195;3650;FEMALE
Chinstrap;Dream;558;198;207;4000;MALE
Chinstrap;Dream;435;181;202;3400;FEMALE
Chinstrap;Dream;496;182;193;3775;MALE
Chinstrap;Dream;508;19;210;4100;MALE
Chinstrap;Dream;502;187;198;3775;FEMALE
Gentoo;Biscoe;461;132;211;4500;FEMALE
Gentoo;Biscoe;50;163;230;5700;MALE
Gentoo;Biscoe;487;141;210;4450;FEMALE
Gentoo;Biscoe;50;152;218;5700;MALE
Gentoo;Biscoe;476;145;215;5400;MALE
Gentoo;Biscoe;465;135;210;4550;FEMALE
Gentoo;Biscoe;454;146;211;4800;FEMALE
Gentoo;Biscoe;467;153;219;5200;MALE
Gentoo;Biscoe;433;134;209;4400;FEMALE
Gentoo;Biscoe;468;154;215;5150;MALE
Gentoo;Biscoe;409;137;214;4650;FEMALE
Gentoo;Biscoe;49;161;216;5550;MALE
Gentoo;Biscoe;455;137;214;4650;FEMALE
Gentoo;Biscoe;484;146;213;5850;MALE
Gentoo;Biscoe;458;146;210;4200;FEMALE
Gentoo;Biscoe;493;157;217;5850;MALE
Gentoo;Biscoe;42;135;210;4150;FEMALE
Gentoo;Biscoe;492;152;221;6300;MALE
Gentoo;Biscoe;462;145;209;4800;FEMALE
Gentoo;Biscoe;487;151;222;5350;MALE
Gentoo;Biscoe;502;143;218;5700;MALE
Gentoo;Biscoe;451;145;215;5000;FEMALE
Gentoo;Biscoe;465;145;213;4400;FEMALE
Gentoo;Biscoe;463;158;215;5050;MALE
Gentoo;Biscoe;429;131;215;5000;FEMALE
Gentoo;Biscoe;461;151;215;5100;MALE
Gentoo;Biscoe;445;143;216;4100;
Gentoo;Biscoe;478;15;215;5650;MALE
Gentoo;Biscoe;482;143;210;4600;FEMALE
Gentoo;Biscoe;50;153;220;5550;MALE
Gentoo;Biscoe;473;153;222;5250;MALE
Gentoo;Biscoe;428;142;209;4700;FEMALE
Gentoo;Biscoe;451;145;207;5050;FEMALE
Gentoo;Biscoe;596;17;230;6050;MALE
Gentoo;Biscoe;491;148;220;5150;FEMALE
Gentoo;Biscoe;484;163;220;5400;MALE
Gentoo;Biscoe;426;137;213;4950;FEMALE
Gentoo;Biscoe;444;173;219;5250;MALE
Gentoo;Biscoe;44;136;208;4350;FEMALE
Gentoo;Biscoe;487;157;208;5350;MALE
Gentoo;Biscoe;427;137;208;3950;FEMALE
Gentoo;Biscoe;496;16;225;5700;MALE
Gentoo;Biscoe;453;137;210;4300;FEMALE
Gentoo;Biscoe;496;15;216;4750;MALE
Gentoo;Biscoe;505;159;222;5550;MALE
Gentoo;Biscoe;436;139;217;4900;FEMALE
Gentoo;Biscoe;455;139;210;4200;FEMALE
Gentoo;Biscoe;505;159;225;5400;MALE
Gentoo;Biscoe;449;133;213;5100;FEMALE
Gentoo;Biscoe;452;158;215;5300;MALE
Gentoo;Biscoe;466;142;210;4850;FEMALE
Gentoo;Biscoe;485;141;220;5300;MALE
Gentoo;Biscoe;451;144;210;4400;FEMALE
Gentoo;Biscoe;501;15;225;5000;MALE
Gentoo;Biscoe;465;144;217;4900;FEMALE
Gentoo;Biscoe;45;154;220;5050;MALE
Gentoo;Biscoe;438;139;208;4300;FEMALE
Gentoo;Biscoe;455;15;220;5000;MALE
Gentoo;Biscoe;432;145;208;4450;FEMALE
Gentoo;Biscoe;504;153;224;5550;MALE
Gentoo;Biscoe;453;138;208;4200;FEMALE
Gentoo;Biscoe;462;149;221;5300;MALE
Gentoo;Biscoe;457;139;214;4400;FEMALE
Gentoo;Biscoe;543;157;231;5650;MALE
Gentoo;Biscoe;458;142;219;4700;FEMALE
Gentoo;Biscoe;498;168;230;5700;MALE
Gentoo;Biscoe;462;144;214;4650;
Gentoo;Biscoe;495;162;229;5800;MALE
Gentoo;Biscoe;435;142;220;4700;FEMALE
Gentoo;Biscoe;507;15;223;5550;MALE
Gentoo;Biscoe;477;15;216;4750;FEMALE
Gentoo;Biscoe;464;156;221;5000;MALE
Gentoo;Biscoe;482;156;221;5100;MALE
Gentoo;Biscoe;465;148;217;5200;FEMALE
Gentoo;Biscoe;464;15;216;4700;FEMALE
Gentoo;Biscoe;486;16;230;5800;MALE
Gentoo;Biscoe;475;142;209;4600;FEMALE
Gentoo;Biscoe;511;163;220;6000;MALE
Gentoo;Biscoe;452;138;215;4750;FEMALE
Gentoo;Biscoe;452;164;223;5950;MALE
Gentoo;Biscoe;491;145;212;4625;FEMALE
Gentoo;Biscoe;525;156;221;5450;MALE
Gentoo;Biscoe;474;146;212;4725;FEMALE
Gentoo;Biscoe;50;159;224;5350;MALE
Gentoo;Biscoe;449;138;212;4750;FEMALE
Gentoo;Biscoe;508;173;228;5600;MALE
Gentoo;Biscoe;434;144;218;4600;FEMALE
Gentoo;Biscoe;513;142;218;5300;MALE
Gentoo;Biscoe;475;14;212;4875;FEMALE
Gentoo;Biscoe;521;17;230;5550;MALE
Gentoo;Biscoe;475;15;218;4950;FEMALE
Gentoo;Biscoe;522;171;228;5400;MALE
Gentoo;Biscoe;455;145;212;4750;FEMALE
Gentoo;Biscoe;495;161;224;5650;MALE
Gentoo;Biscoe;445;147;214;4850;FEMALE
Gentoo;Biscoe;508;157;226;5200;MALE
Gentoo;Biscoe;494;158;216;4925;MALE
Gentoo;Biscoe;469;146;222;4875;FEMALE
Gentoo;Biscoe;484;144;203;4625;FEMALE
Gentoo;Biscoe;511;165;225;5250;MALE
Gentoo;Biscoe;485;15;219;4850;FEMALE
Gentoo;Biscoe;559;17;228;5600;MALE
Gentoo;Biscoe;472;155;215;4975;FEMALE
Gentoo;Biscoe;491;15;228;5500;MALE
Gentoo;Biscoe;473;138;216;4725;
Gentoo;Biscoe;468;161;215;5500;MALE
Gentoo;Biscoe;417;147;210;4700;FEMALE
Gentoo;Biscoe;534;158;219;5500;MALE
Gentoo;Biscoe;433;14;208;4575;FEMALE
Gentoo;Biscoe;481;151;209;5500;MALE
Gentoo;Biscoe;505;152;216;5000;FEMALE
Gentoo;Biscoe;498;159;229;5950;MALE
Gentoo;Biscoe;435;152;213;4650;FEMALE
Gentoo;Biscoe;515;163;230;5500;MALE
Gentoo;Biscoe;462;141;217;4375;FEMALE
Gentoo;Biscoe;551;16;230;5850;MALE
Gentoo;Biscoe;445;157;217;4875;
Gentoo;Biscoe;488;162;222;6000;MALE
Gentoo;Biscoe;472;137;214;4925;FEMALE
Gentoo;Biscoe;;;;;
Gentoo;Biscoe;468;143;215;4850;FEMALE
Gentoo;Biscoe;504;157;222;5750;MALE
Gentoo;Biscoe;452;148;212;5200;FEMALE
Gentoo;Biscoe;499;161;213;5400;MALE
